seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
1,16,4,small,small,ours,true,3.873,7.5917845,3,22,0.3154166666666667,0.36766666666666664,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
1,16,4,small,small,ours,false,2.653,8.334226792,3,22,0.21600000000000003,0.5396666666666666,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
2,16,4,small,small,ours,true,2.822,3.916797875,2,20,0.18513333333333332,0.2106,905256.0,935864.0,1.105584e6,935864.0,18.119654408891595,0.0
2,16,4,small,small,ours,false,1.649,2.545444875,2,20,0.10713333333333336,0.1658,905256.0,935864.0,1.105584e6,935864.0,18.119654408891595,0.0
3,16,4,small,small,ours,true,5.903,9.133131333,3,23,0.4164285714285715,0.387,630433.5,648910.0,695152.0,649010.0,9.309978249361295,0.015408083080381552
3,16,4,small,small,ours,false,3.885,7.186492958,3,23,0.2720714285714286,0.6726666666666666,630433.5,648910.0,695152.0,649010.0,9.309978249361295,0.015408083080381552
4,16,4,small,small,ours,true,4.735,7.967590208,2,20,0.35915384615384616,0.4441428571428573,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
4,16,4,small,small,ours,false,2.983,9.761366583,2,20,0.2246153846153846,0.954,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
5,16,4,small,small,ours,true,22.068,33.80211125,4,34,1.285294117647059,0.6819999999999999,563581.0,630043.9999999999,649802.0,633472.0,13.26881111477034,0.5411446756920735
5,16,4,small,small,ours,false,17.499,35.139272542,4,34,1.016764705882353,1.1746,563581.0,630043.9999999999,649802.0,633472.0,13.26881111477034,0.5411446756920735
6,16,4,small,small,ours,true,4.064,6.723671458,2,21,0.3079230769230769,0.32225,675755.0,705972.0,712344.0,712344.0,5.1364228518805515,0.894511640443385
6,16,4,small,small,ours,false,2.585,6.209874125,2,21,0.19438461538461538,0.441875,675755.0,705972.0,712344.0,712344.0,5.1364228518805515,0.894511640443385
7,16,4,small,small,ours,true,1.773,4.349641625,3,18,0.218375,0.23925000000000002,638485.0,694920.0,723530.0,695530.0,11.7541774356281,0.08770290282230642
7,16,4,small,small,ours,false,1.052,4.206092708,3,18,0.12837500000000002,0.2925,638485.0,694920.0,723530.0,695530.0,11.7541774356281,0.08770290282230642
8,16,4,small,small,ours,true,5.211,16.150686583,4,32,0.42741666666666656,0.4741666666666666,656979.5,678792.0,718182.0,678792.0,8.52186493117344,0.0
8,16,4,small,small,ours,false,3.41,29.029837208,4,32,0.2773333333333333,1.4008333333333336,656979.5,678792.0,718182.0,678792.0,8.52186493117344,0.0
9,16,4,small,small,ours,true,3.146,3.996849,2,14,0.30810000000000004,0.19275,659363.3333333334,660230.0,660230.0,660230.0,0.1312673866177838,0.0
9,16,4,small,small,ours,false,2.057,3.052199084,2,14,0.1996,0.22575,659363.3333333334,660230.0,660230.0,660230.0,0.1312673866177838,0.0
10,16,4,small,small,ours,true,24.895,61.30006875,3,30,1.6514000000000002,1.9296666666666664,656928.8888888889,712946.0,855799.0,713300.0,23.237946189597224,0.04962848731249192
10,16,4,small,small,ours,false,28.355,132.063393084,3,28,1.8817333333333333,8.30325,656928.8888888889,712946.0,855799.0,713300.0,23.237946189597224,0.04962848731249192
11,16,4,small,small,ours,true,6.826,19.033416459,3,33,0.4206875,0.762,597335.3,647118.0,686340.0,647118.0,12.968018766209166,0.0
11,16,4,small,small,ours,false,4.29,159.860490125,3,33,0.2618125,9.6599,597335.3,647118.0,686340.0,647118.0,12.968018766209166,0.0
12,16,4,small,small,ours,true,3.518,5.75214025,2,20,0.2895000000000001,0.268875,568540.0,580077.0,642247.0,580077.0,11.476425736515704,0.0
12,16,4,small,small,ours,false,2.179,4.880393875,2,21,0.17816666666666664,0.29055555555555557,568540.0,580077.0,642247.0,580077.0,11.476425736515704,0.0
13,16,4,small,small,ours,true,3.262,4.806543667,2,16,0.2913636363636364,0.29300000000000004,716791.5,756618.0,766933.0,761288.0,6.537924434077036,0.6134340748836231
13,16,4,small,small,ours,false,2.222,4.3894915,2,16,0.19645454545454547,0.4188,716791.5,756618.0,766933.0,761288.0,6.537924434077036,0.6134340748836231
14,16,4,small,small,ours,true,2.821,5.378043625,5,21,0.25190909090909097,0.2626666666666667,770203.3333333334,802301.0,808150.0,808150.0,4.695497947988203,0.7237517787539449
14,16,4,small,small,ours,false,1.782,4.18867625,5,21,0.15836363636363635,0.28400000000000003,770203.3333333334,802301.0,808150.0,808150.0,4.695497947988203,0.7237517787539449
15,16,4,small,small,ours,true,4.07,6.218935125,2,18,0.33416666666666667,0.3418333333333333,685822.6923076924,748454.0,756340.0,748454.0,9.323493097324963,0.0
15,16,4,small,small,ours,false,2.684,5.519592083,2,19,0.21633333333333338,0.39257142857142857,685822.6923076924,748454.0,756340.0,748454.0,9.323493097324963,0.0
16,16,4,small,small,ours,true,4.001,6.689446083,2,27,0.24337499999999998,0.2342727272727273,819143.75,840765.0,874900.0,844934.0,6.372871185278317,0.4934113197007095
16,16,4,small,small,ours,false,2.646,5.665364125,2,27,0.1595,0.26545454545454544,819143.75,840765.0,874900.0,844934.0,6.372871185278317,0.4934113197007095
17,16,4,small,small,ours,true,3.751,6.832084958,3,23,0.28284615384615386,0.2783333333333334,735836.6666666667,799980.0,831930.0,801710.0,11.550651296783776,0.21578875154357746
17,16,4,small,small,ours,false,2.485,7.829044583,3,23,0.18653846153846154,0.5535,735836.6666666667,799980.0,831930.0,801710.0,11.550651296783776,0.21578875154357746
18,16,4,small,small,ours,true,4.644,8.903596917,3,21,0.4577,0.40575,611795.0,663967.0,692677.0,678467.0,11.676726670583836,2.1371710046324988
18,16,4,small,small,ours,false,3.221,10.369197458,3,21,0.31529999999999997,0.747,611795.0,663967.0,692677.0,678467.0,11.676726670583836,2.1371710046324988
19,16,4,small,small,ours,true,4.929,9.510134,2,25,0.34664285714285714,0.4081818181818182,689036.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0
19,16,4,small,small,ours,false,3.108,9.3539625,2,25,0.2177857142857143,0.5584545454545454,689036.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0
20,16,4,small,small,ours,true,2.824,7.516958416,5,38,0.21369230769230768,0.18966666666666665,609971.6666666666,636720.0,709636.0,636720.0,14.044430290083,0.0
20,16,4,small,small,ours,false,1.862,5.263442708,5,38,0.13976923076923078,0.14466666666666667,609971.6666666666,636720.0,709636.0,636720.0,14.044430290083,0.0
1,16,4,small,small,benchmark,true,9.647,14.275553458,3,18,0.8669090909090909,0.6675,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
1,16,4,small,small,benchmark,false,12.564,19.389122083,3,18,1.1332727272727274,1.0354999999999999,640498.4047619047,674785.5,686313.0,686313.0,6.675466622094472,1.6796272254787525
2,16,4,small,small,benchmark,true,6.117,9.578560459,2,16,0.6054000000000002,0.5655,905256.0,935864.0,998840.0,935864.0,9.369268351287497,0.0
