seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,time_taken_total_SR3,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3
1,16,4,small,small,ours,true,0.565,0.9009999999999999,1.146,4,21,0.02245454545454546,0.037500000000000006,0.243,640498.4047619049,674785.5,675981.5,686313.0,686313.0,686313.0,6.675466622094461,1.6796272254787525,0.015053627135140912
1,16,4,small,small,ours,false,0.331,1.1980000000000002,1.451,4,22,0.02572727272727273,0.0985,0.125,640498.4047619049,674785.5,675981.5,686313.0,686313.0,686313.0,6.675466622094461,1.6796272254787525,0.015053627135140912
2,16,4,small,small,ours,true,0.2,0.28200000000000003,0.28200000000000003,2,20,0.011200000000000002,0.015000000000000001,0.015000000000000001,905256.0,935864.0,935864.0,1.105584e6,935864.0,935864.0,18.119654408891595,0.0,0.0
2,16,4,small,small,ours,false,0.227,0.373,0.373,2,20,0.012800000000000004,0.0276,0.0276,905256.0,935864.0,935864.0,1.105584e6,935864.0,935864.0,18.119654408891595,0.0,0.0
3,16,4,small,small,ours,true,0.454,0.6679999999999999,1.435,4,28,0.0243125,0.026999999999999996,0.382,630433.5,648910.0,649010.0,695152.0,649010.0,649010.0,9.309978249361295,0.015408083080381552,0.0
3,16,4,small,small,ours,false,0.554,1.0550000000000002,1.8030000000000002,4,30,0.030375,0.11100000000000002,0.18575000000000003,630433.5,648910.0,649010.0,695152.0,649010.0,649010.0,9.309978249361295,0.015408083080381552,0.0
4,16,4,small,small,ours,true,0.351,0.663,0.663,2,17,0.025454545454545462,0.05,0.05,524486.3333333334,535531.0,535531.0,535531.0,535531.0,535531.0,2.062376718932546,0.0,0.0
4,16,4,small,small,ours,false,0.366,1.8039999999999998,1.8039999999999998,2,17,0.028909090909090916,0.23766666666666666,0.23766666666666666,524486.3333333334,535531.0,535531.0,535531.0,535531.0,535531.0,2.062376718932546,0.0,0.0
5,16,4,small,small,ours,true,2.74,3.9030000000000005,4.406000000000001,5,34,0.15041176470588233,0.077,0.502,563581.0,630043.9999999999,633472.0,649802.0,633472.0,633472.0,13.26881111477034,0.5411446756920735,0.0
5,16,4,small,small,ours,false,2.819,5.686,6.483,5,36,0.15511764705882358,0.20516666666666664,0.26366666666666666,563581.0,630043.9999999999,633472.0,649802.0,633472.0,633472.0,13.26881111477034,0.5411446756920735,0.0
6,16,4,small,small,ours,true,0.324,0.527,2.9259999999999997,8,28,0.01978571428571429,0.023625,0.85,675755.0,705972.0,712344.0,782514.0,712344.0,712344.0,13.643078590287205,0.894511640443385,0.0
6,16,4,small,small,ours,false,0.366,0.884,2.3979999999999997,8,36,0.019071428571428576,0.06275,0.14450000000000002,675755.0,705972.0,712344.0,782514.0,712344.0,712344.0,13.643078590287205,0.894511640443385,0.0
7,16,4,small,small,ours,true,0.189,0.388,0.526,4,22,0.013583333333333336,0.01725,0.136,638485.0,694920.0,695530.0,723530.0,695530.0,695530.0,11.7541774356281,0.08770290282230642,0.0
