seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
1,16,4,small,small,ours,true,0.375,0.912729708,3,20,0.02663636363636364,0.043,640498.4047619049,674785.5,686313.0,686313.0,6.675466622094461,1.6796272254787525
1,16,4,small,small,ours,false,0.416,1.558419083,3,20,0.030363636363636363,0.125,640498.4047619049,674785.5,686313.0,686313.0,6.675466622094461,1.6796272254787525
2,16,4,small,small,ours,true,0.224,0.354374125,2,20,0.011533333333333336,0.018200000000000004,905256.0,935864.0,1.105584e6,935864.0,18.119654408891595,0.0
2,16,4,small,small,ours,false,0.291,0.493004625,2,20,0.01666666666666667,0.032,905256.0,935864.0,1.105584e6,935864.0,18.119654408891595,0.0
3,16,4,small,small,ours,true,0.531,0.906848291,3,26,0.02775,0.033,630433.5,648910.0,695152.0,649010.0,9.309978249361295,0.015408083080381552
3,16,4,small,small,ours,false,0.632,1.325452208,3,26,0.034625,0.12799999999999997,630433.5,648910.0,695152.0,649010.0,9.309978249361295,0.015408083080381552
4,16,4,small,small,ours,true,0.397,0.842105708,2,17,0.03063636363636364,0.057999999999999996,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
4,16,4,small,small,ours,false,0.451,2.31921475,2,17,0.03436363636363637,0.2921666666666667,524486.3333333334,535531.0,535531.0,535531.0,2.062376718932546,0.0
5,16,4,small,small,ours,true,3.204,4.982222666,4,33,0.17441176470588238,0.08466666666666667,563581.0,630043.9999999999,649802.0,633472.0,13.26881111477034,0.5411446756920735
5,16,4,small,small,ours,false,3.164,7.0673015,4,33,0.17576470588235293,0.255,563581.0,630043.9999999999,649802.0,633472.0,13.26881111477034,0.5411446756920735
6,16,4,small,small,ours,true,0.337,0.627912667,2,22,0.01842857142857143,0.024,675755.0,705972.0,782514.0,712344.0,13.643078590287205,0.894511640443385
6,16,4,small,small,ours,false,0.392,1.072095834,2,22,0.024000000000000007,0.071875,675755.0,705972.0,782514.0,712344.0,13.643078590287205,0.894511640443385
7,16,4,small,small,ours,true,0.175,0.43808675,3,21,0.012083333333333337,0.021750000000000002,638485.0,694920.0,723530.0,695530.0,11.7541774356281,0.08770290282230642
7,16,4,small,small,ours,false,0.211,0.8386315,3,21,0.015250000000000003,0.05699999999999999,638485.0,694920.0,723530.0,695530.0,11.7541774356281,0.08770290282230642
8,16,4,small,small,ours,true,0.418,1.649226417,4,30,0.027916666666666673,0.0364,656979.5,678792.0,718182.0,678792.0,8.52186493117344,0.0
