n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,customer_spread,xmin,xmax,ymin,ymax,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,elementary,ngroute,ngroute_alt,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,use_smaller_graph,use_adaptive_ngroute,use_SR3_cuts,use_lmSR3_cuts,time_taken_first,time_taken_total,time_taken_total_SR3,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,converged,time_limit,time_limit_reached,n_iterations,n_CG_iterations,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3,neighborhood_size_mean_first,neighborhood_size_mean_last,neighborhood_size_mean_last_SR3,implemented_SR3_cuts_count_total,mean_subpath_length,mean_path_length,mean_ps_length
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,false,0.584,0.584,5.506,0.03607142857142858,0.03607142857142858,0.35350000000000004,false,3600.0,false,7,33,1.512964e6,1.512964e6,1.5616874999999998e6,1.58034e6,1.58034e6,1.56293e6,4.263386359897236,0.042633863598972366,0.0007949812211680563,7.75,7.75,7.8500000000000005,36,1.910842939481268,8.493995196156925,4.44515612489992
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,true,0.558,0.558,3.001,0.03457142857142858,0.03457142857142858,0.12000000000000001,true,3600.0,false,7,33,1.512964e6,1.512964e6,1.58034e6,1.58034e6,1.58034e6,1.58034e6,4.263386359897236,0.042633863598972366,0.0,7.75,7.75,8.149999999999999,15,1.8755004766444232,8.280303030303031,4.414983164983165
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,small,false,true,true,false,0.358,0.839,2.981,0.022000000000000006,0.03485714285714285,0.2865,false,3600.0,false,8,37,1.4002642666666664e6,1.512964e6,1.5616875e6,1.66505e6,1.66505e6,1.56293e6,15.902569492407647,0.09134019999399412,0.0007949812211679452,5.0,17.45,6.45,36,1.9540782855893286,8.494296577946768,4.346958174904943
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,small,false,true,true,true,0.352,0.755,3.602,0.02183333333333334,0.030142857142857138,0.147,true,3600.0,false,16,52,1.4002642666666664e6,1.512964e6,1.58673e6,1.66505e6,1.66505e6,1.58673e6,15.902569492407647,0.09134019999399412,0.0,5.0,17.45,6.8500000000000005,48,1.9292221443587947,8.342424242424242,4.324242424242424
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,false,0.839,0.839,0.839,0.06945454545454544,0.06945454545454544,0.06945454545454544,true,3600.0,false,1,11,1.64683e6,1.64683e6,1.64683e6,1.64683e6,1.64683e6,1.64683e6,0.0,0.0,0.0,7.75,7.75,7.75,0,1.8269996380745566,8.109236947791164,4.43855421686747
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,true,0.848,0.848,0.848,0.07036363636363635,0.07036363636363635,0.07036363636363635,true,3600.0,false,1,11,1.64683e6,1.64683e6,1.64683e6,1.64683e6,1.64683e6,1.64683e6,0.0,0.0,0.0,7.75,7.75,7.75,0,1.8269996380745566,8.109236947791164,4.43855421686747
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,small,false,true,true,false,0.641,1.3159999999999998,1.3159999999999998,0.03864285714285715,0.0465,0.0465,true,3600.0,false,3,25,1.4096826666666667e6,1.64683e6,1.64683e6,2.41233e6,1.64683e6,1.64683e6,41.563440048970634,0.0,0.0,5.0,18.45,6.75,0,1.8471509586821495,8.142857142857142,4.408333333333333
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,small,false,true,true,true,0.626,1.313,1.313,0.038071428571428576,0.0655,0.0655,true,3600.0,false,3,25,1.4096826666666667e6,1.64683e6,1.64683e6,2.41233e6,1.64683e6,1.64683e6,41.563440048970634,0.0,0.0,5.0,18.45,6.75,0,1.8471509586821495,8.142857142857142,4.408333333333333
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,false,2.003,2.6310000000000002,657.337,0.14715384615384614,0.20566666666666666,31.389000000000003,false,3600.0,false,26,67,1.4295642222222222e6,1.4296620000000002e6,1.4943916497175156e6,1.50362e6,1.50362e6,1.50037e6,4.925165785090502,0.04918662960056386,0.003984583990938484,7.75,16.2,9.350000000000001,110,2.068385473982078,9.005475701574264,4.353867214236824
4,20,11,6,grid,random_box,grid_clipped,0.2,0.0,4.0,0.0,2.0,72000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,ours,false,true,true,5,small,medium,false,true,true,true,1.987,2.617,372.992,0.14584615384615382,0.20566666666666666,11.2345,false,3600.0,false,37,103,1.4295642222222222e6,1.4296620000000002e6,1.499688110102849e6,1.50362e6,1.50362e6,1.50362e6,4.925165785090502,0.04918662960056386,0.0026149491873950215,7.75,16.2,9.85,160,2.0348353552859617,8.78817365269461,4.318862275449102
