n_customers,method,ngroute_alt,ngroute_neighborhood_charging_size,time_taken_first_geomean,time_taken_total_geomean,time_taken_total_SR3_geomean,time_taken_total_SR3_geomean_skipmissing,time_taken_total_lmSR3_geomean,sp_time_taken_mean_first_geomean,sp_time_taken_mean_last_geomean,sp_time_taken_mean_last_SR3_geomean,sp_time_taken_mean_last_SR3_geomean_skipmissing,sp_time_taken_mean_last_lmSR3_geomean,LP_IP_gap_first_mean,LP_IP_gap_last_mean,LP_IP_gap_last_SR3_mean,LP_IP_gap_last_SR3_mean_skipmissing,LP_IP_gap_last_lmSR3_mean,converged_first_mean,converged_last_mean,converged_last_SR3_mean,converged_last_lmSR3_mean,n_iterations_mean,n_CG_iterations_mean,n_CG_iterations_SR3_mean,n_CG_iterations_lmSR3_mean
16,benchmark,false,small,4.187799027041962,7.03208417896509,8.194326884053632,8.194326884053632,8.46031919673343,0.35227819227501983,0.26083135335556784,0.3377020452222823,0.3377020452222823,0.33308322428164505,9.497174530180926,0.3995411611076139,0.09460352579755471,0.09460352579755471,0.09460352579755471,0.0,0.45,0.85,0.85,4.05,21.4,24.2,24.85
16,benchmark,false,medium,3.8348434647489773,4.226782750945326,5.105159310156402,5.105159310156402,5.553873133535446,0.35200329561057664,0.33593322384360635,0.4115796198525627,0.4115796198525627,0.42069752233514773,0.5956957889792186,0.40400952603390883,0.09460352579755471,0.09460352579755471,0.09460352579755471,0.4,0.45,0.85,0.85,2.5,12.1,14.35,15.55
16,benchmark,true,small,2.9129311182089515,4.60575236533573,5.4972693465098885,5.4972693465098885,5.698858055988024,0.23857627781780263,0.15424717866525062,0.2264326504520517,0.2264326504520517,0.2198035408066205,9.497174530180926,0.3995411611076139,0.09460352579755471,0.09460352579755471,0.09460352579755471,0.0,0.45,0.85,0.85,4.05,21.4,24.2,24.85
16,benchmark,true,medium,2.547930227208456,2.78284380582376,3.510896281068512,3.510896281068512,3.893893444650641,0.23083980428430775,0.21568753440003643,0.3007389152252955,0.3007389152252955,0.30966093805916284,0.5956957889792186,0.40400952603390883,0.09460352579755471,0.09460352579755471,0.09460352579755471,0.4,0.45,0.85,0.85,2.5,12.1,14.35,15.55
16,ours,false,small,0.7087669294262581,2.9498285959355024,3.6334740655878672,3.6334740655878672,4.421423496681074,0.04840021359577118,0.19622311225070468,0.23470844087849257,0.23470844087849257,0.29499569983332097,9.225581352782699,0.5034917459270105,0.09460352579755471,0.09460352579755471,0.13073542476855549,0.0,0.45,0.85,0.8,4.1,24.0,26.85,28.3
16,ours,false,medium,4.933198983697182,5.496688887637635,6.642058385289413,6.642058385289413,7.373815753445297,0.414190242683322,0.3968849835006724,0.44498883299539127,0.44498883299539127,0.5263978790225713,1.1657156020575588,0.3995411611076122,0.0946035257975536,0.0946035257975536,0.0946035257975536,0.35,0.4,0.8,0.8,2.55,13.9,16.75,17.5
16,ours,true,small,0.6251739138310719,1.3502024629986988,1.6811215026070718,1.6811215026070718,2.027017779136107,0.04175410961229811,0.05303719296421811,0.07847689773455177,0.07847689773455177,0.09986116105365721,9.225581352782699,0.5034917459270088,0.09460352579755471,0.09460352579755471,0.13830048012905327,0.0,0.45,0.85,0.8,4.1,24.55,28.15,28.75
16,ours,true,medium,1.1332757563661684,1.2314662933193825,1.583911534184973,1.583911534184973,1.8555882415406575,0.09385592897023708,0.08998971363677985,0.12904492058369701,0.12904492058369701,0.15737326624901882,1.007656418854097,0.4448556684716287,0.0946035257975536,0.0946035257975536,0.0946035257975536,0.4,0.45,0.85,0.8,2.45,12.9,15.45,16.1
20,benchmark,false,small,11.778379433023073,19.017255884329785,28.188580571020015,28.188580571020015,28.740367757965004,0.8541094324257018,0.7391469967971562,1.2623290806980978,1.2623290806980978,1.065246773942694,9.614746640400167,0.9608368434332792,0.18186274843297268,0.18186274843297268,0.18186274843297212,0.05,0.4,0.7,0.75,5.15,23.3,30.1,33.0
20,benchmark,false,medium,12.719467311663902,13.283296585247001,20.85955793851197,20.85955793851197,21.366205310069184,1.007933779443765,0.9696274861867744,1.4044997377523318,1.4044997377523318,1.260793060609079,1.2075447062489695,1.0873386534090241,0.17574171458158372,0.17574171458158372,0.17574171458158372,0.35,0.4,0.75,0.75,3.4,13.5,19.3,21.0
