n_depots,n_customers,n_charging,charging_repeats,n_vehicles,shrinkage_depots,shrinkage_charging,T,T_step,B,B_step,seed,μ,batch,time_limit,arc_ip_objective,arc_ip_time_taken,arc_ip_solution_time_taken,arc_ip_constraint_time_taken,arc_lp_objective,arc_lp_time_taken,arc_lp_solution_time_taken,arc_lp_constraint_time_taken,arc_ip_time_limit_reached,arc_ip_has_solution,arc_ip_has_optimal_solution
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,1,5.0,3,3600.0,2584.0,1.746,1.735,0.011,2302.0000000000005,0.021,0.011,0.01,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,2,5.0,3,3600.0,2831.0,6.925,6.87,0.056,2634.000000000001,0.052,0.012,0.04,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,3,5.0,3,3600.0,2524.0,15.893,15.882,0.011,2203.9999999999995,0.055,0.012,0.043,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,4,5.0,3,3600.0,3357.0,19.392,19.379,0.012,2918.0,0.067,0.019,0.048,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,5,5.0,3,3600.0,2766.0,0.935,0.925,0.01,2634.9999999999995,0.022,0.012,0.009,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,6,5.0,3,3600.0,2773.0,29.395,29.383,0.012,2099.0,0.057,0.012,0.044,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,7,5.0,3,3600.0,3560.0,30.972,30.962,0.01,2728.0,0.066,0.011,0.054,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,8,5.0,3,3600.0,2180.0,7.322,7.312,0.01,1956.9999999999995,0.031,0.015,0.016,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,9,5.0,3,3600.0,3759.0,33.903,33.893,0.011,2832.000000000001,0.055,0.015,0.039,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,10,5.0,3,3600.0,4019.0,1507.29,1507.281,0.009,2836.0,0.053,0.012,0.041,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,11,5.0,3,3600.0,3534.0,22.181,22.17,0.011,2673.0,0.056,0.012,0.044,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,12,5.0,3,3600.0,3536.0,55.466,55.455,0.011,2645.0,0.052,0.014,0.038,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,13,5.0,3,3600.0,2563.0,155.067,155.055,0.011,1803.0000000000002,0.027,0.012,0.015,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,15,5.0,3,3600.0,3051.0,23.255,23.244,0.011,2586.0000000000005,0.031,0.016,0.015,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,16,5.0,3,3600.0,2789.0,7.101,7.089,0.012,2576.0000000000005,0.086,0.052,0.035,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,17,5.0,3,3600.0,2926.0,36.5,36.49,0.01,2447.0000000000005,0.057,0.013,0.045,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,18,5.0,3,3600.0,2528.0,2.384,2.373,0.011,2280.0,0.048,0.014,0.034,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,19,5.0,3,3600.0,2731.0,59.778,59.765,0.013,2111.0,0.052,0.011,0.041,false,true,true
2,9,2,1,3,1.4,0.6,1500.0,50.0,1050.0,50.0,20,5.0,3,3600.0,3511.0,54.269,54.26,0.009,2577.999999999999,0.058,0.011,0.047,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,1,5.0,4,3600.0,3933.0,44.658,44.617,0.041,3543.999999999999,0.073,0.018,0.055,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,2,5.0,4,3600.0,3608.0,21.078,21.065,0.013,3278.0000000000014,0.056,0.018,0.038,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,3,5.0,4,3600.0,2941.0,11.413,11.401,0.013,2626.9999999999995,0.064,0.019,0.045,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,4,5.0,4,3600.0,3835.0,39.348,39.336,0.012,3490.999999999999,0.077,0.022,0.055,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,5,5.0,4,3600.0,3749.0,47.845,47.832,0.013,3287.0000000000005,0.069,0.018,0.051,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,6,5.0,4,3600.0,3557.0,44.614,44.603,0.012,3227.9999999999995,0.035,0.019,0.015,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,7,5.0,4,3600.0,4399.0,3600.251,3600.238,0.013,3292.000000000001,0.033,0.017,0.016,true,true,false
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,8,5.0,4,3600.0,3136.0,202.65,202.609,0.041,2744.9999999999995,0.065,0.017,0.049,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,9,5.0,4,3600.0,4239.0,410.103,410.09,0.013,3486.0,0.064,0.02,0.045,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,10,5.0,4,3600.0,4591.0,3600.236,3600.225,0.012,3679.0,0.07,0.019,0.051,true,true,false
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,11,5.0,4,3600.0,4231.0,351.806,351.793,0.012,3406.0,0.063,0.017,0.047,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,12,5.0,4,3600.0,3868.0,30.545,30.529,0.016,3229.000000000001,0.065,0.025,0.041,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,13,5.0,4,3600.0,3609.0,3600.059,3600.047,0.012,2419.0,0.036,0.018,0.018,true,true,false
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,14,5.0,4,3600.0,4874.0,3600.175,3600.162,0.013,4577.0,0.069,0.021,0.048,true,true,false
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,15,5.0,4,3600.0,3513.0,47.633,47.62,0.013,3157.0000000000005,0.072,0.029,0.043,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,16,5.0,4,3600.0,3889.0,78.241,78.228,0.013,3581.0000000000005,0.083,0.024,0.059,false,true,true
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,17,5.0,4,3600.0,3153.0,527.622,527.609,0.012,2731.999999999999,0.08,0.021,0.06,false,true,true
