n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,679665.3679653679,1.049124e6,0.5435890210805294,11,true,8.971,0.0,7.231000000000001,0.54,0.0,0.6573636363636365,0.049090909090909095,3.4,2.533101045296168,8.35,3.4999999999999996,3.05,1.6306818181818181,2.25,2.25,3.5,3.5,2.0,2.0
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,false,755140.0,762640.0,0.009931933151468675,6,true,30.084,9.64,18.944,0.4740000000000001,1.6066666666666667,3.1573333333333333,0.07900000000000001,2.9285714285714284,2.6,4.75,3.5,1.875,1.5625,2.8181818181818183,2.5384615384615383,4.333333333333333,3.5,1.8333333333333333,1.625
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,637895.3333333334,792940.0,0.24305659340142527,11,true,8.11,0.0,7.5409999999999995,0.3800000000000001,0.0,0.6855454545454545,0.03454545454545455,3.4814814814814814,2.5483870967741935,6.583333333333333,3.5,2.3333333333333335,1.6145833333333335,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,11,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,false,687369.0,687369.0,0.0,9,true,9262.973,245.12300000000002,8990.387,22.599999999999998,27.23588888888889,998.9318888888889,2.511111111111111,3.1818181818181817,3.0,4.428571428571429,4.0,1.5714285714285714,1.5,3.1818181818181817,3.0,4.428571428571429,4.0,1.5714285714285714,1.5
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,11,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,true,687369.0,687369.0,0.0,20,true,1790.096,177.118,1612.237,0.413,8.8559,80.61185,0.020649999999999998,3.1538461538461537,3.0,4.111111111111111,4.0,1.4444444444444444,1.5,3.4,3.0,5.0,4.0,1.6666666666666667,1.5
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,627232.0862159329,951495.0,0.5169743718634243,14,true,26.072,0.0,24.274000000000004,1.305,0.0,1.7338571428571432,0.09321428571428571,3.8552631578947367,2.793250638810296,10.541666666666666,4.0,3.5,1.6729395964360585,2.8461538461538463,2.8461538461538463,4.0,4.0,1.625,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,false,false,704710.0,704710.0,0.0,22,true,17.379,0.0,16.215,0.757,0.0,0.7370454545454546,0.03440909090909091,3.4,2.8461538461538463,5.8,4.0,2.0,1.625,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,false,697630.3333333334,717880.0,0.029026356365429384,9,true,45320.536,0.0,45202.405000000006,100.495,0.0,5022.489444444445,11.166111111111112,3.6842105263157894,2.945945945945946,7.111111111111111,4.000000000000001,2.2222222222222223,1.5416666666666667,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,true,704710.0,704710.0,0.0,25,true,3993.907,0.0,3992.447,0.9550000000000002,0.0,159.69788,0.038200000000000005,3.4,2.8461538461538463,5.8,4.0,2.0,1.625,3.4,2.8461538461538463,5.8,4.0,2.0,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,12,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,false,false,false,false,false,657968.3254420992,980359.0,0.4899790188855693,19,true,25.725,19.061000000000003,4.554,0.799,1.0032105263157896,0.2396842105263158,0.04205263157894737,3.5555555555555554,2.7948614029287238,9.681818181818182,4.000000000000001,3.3181818181818183,1.671438248716486,2.8461538461538463,2.7142857142857144,4.428571428571429,4.0,1.8571428571428572,1.75
