n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,formulation,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,449987.3004201681,831961.0,0.848854399275647,9,true,5.669,0.0,5.367,0.197,0.0,0.5963333333333334,0.02188888888888889,2.7313432835820897,1.7990971900315655,9.5,3.0000000000000004,4.785714285714286,1.5862394957983195,2.3636363636363638,2.3636363636363638,3.0,3.0,1.375,1.375
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,ours,true,false,true,false,false,613135.5,615283.0,0.0035024884385261856,9,true,2.645,2.053,0.48199999999999993,0.036,0.2281111111111111,0.05355555555555555,0.004,2.7777777777777777,2.3617021276595747,4.2,3.0,1.8,1.46875,2.4545454545454546,2.3333333333333335,3.2857142857142856,3.0,1.5714285714285714,1.5
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,false,514813.57894736854,616069.0,0.19668366413268834,13,true,23.56,20.645999999999997,1.597,0.20900000000000007,1.588153846153846,0.12284615384615384,0.016076923076923082,3.2758620689655173,2.3559322033898313,6.461538461538462,3.0000000000000004,2.3846153846153846,1.475,2.4545454545454546,2.3333333333333335,3.2857142857142856,3.0,1.5714285714285714,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,false,false,false,676692.9437229439,941169.0,0.39083613732100564,12,true,9.778,0.0,7.354,0.8040000000000003,0.0,0.6128333333333333,0.06700000000000002,3.7027027027027026,2.5921426725252,7.705882352941177,3.5000000000000004,2.5294117647058822,1.570211038961039,2.4285714285714284,2.4285714285714284,3.5,3.5,1.75,1.75
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,false,false,false,762180.6447368419,931865.0,0.22263010276487005,10,true,3.872,0.0,3.166,0.516,0.0,0.3166,0.0516,3.511111111111111,2.4063656550703185,7.333333333333333,3.5,2.5714285714285716,1.7776315789473687,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,false,false,788807.6666666665,802013.0,0.01674087853270545,13,true,5.077,0.0,4.562,0.313,0.0,0.35092307692307695,0.024076923076923076,3.3684210526315788,2.5789473684210535,5.6,3.5,2.0,1.5833333333333333,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,false,false,831466.0,832712.0,0.0014985579686963568,11,true,2.781,0.0,2.4429999999999996,0.20500000000000002,0.0,0.22209090909090906,0.01863636363636364,2.6842105263157894,2.4285714285714284,4.2,3.5,1.9,1.75,2.5384615384615383,2.4285714285714284,3.857142857142857,3.5,1.8571428571428572,1.75
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,true,false,788807.6666666667,800323.0,0.014598404427272671,7,true,774.357,0.0,766.358,5.528,0.0,109.47971428571428,0.7897142857142857,3.3684210526315788,2.578947368421052,5.6,3.5,2.0,1.5833333333333335,2.8181818181818183,2.6666666666666665,3.857142857142857,3.5,1.5714285714285714,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,true,false,825160.0,825160.0,0.0,6,true,161.191,0.0,159.07,1.463,0.0,26.511666666666667,0.24383333333333335,2.5384615384615383,2.4285714285714284,3.857142857142857,3.5,1.8571428571428572,1.75,2.5384615384615383,2.4285714285714284,3.857142857142857,3.5,1.8571428571428572,1.75
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,true,true,788807.6666666665,792343.0,0.004481869893928625,14,true,177.079,0.0,175.676,0.32000000000000006,0.0,12.548285714285713,0.02285714285714286,3.4444444444444446,2.5789473684210527,5.6,3.5,2.0,1.5833333333333333,2.6666666666666665,2.5384615384615383,3.857142857142857,3.5,1.7142857142857142,1.625
