methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000,4_7_24_8_40000_15000,4_7_24_8_50000_15000,4_7_24_8_60000_15000,4_7_24_8_70000_15000,4_7_24_8_80000_15000,4_7_28_8_40000_15000,4_7_28_8_50000_15000,4_7_28_8_60000_15000,4_7_28_8_70000_15000,4_7_28_8_80000_15000,4_7_32_8_40000_15000,4_7_32_8_50000_15000,4_7_32_8_60000_15000,4_7_32_8_70000_15000,4_7_32_8_80000_15000,4_7_36_8_40000_15000,4_7_36_8_50000_15000,4_7_36_8_60000_15000,4_7_36_8_70000_15000,4_7_36_8_80000_15000,4_7_40_8_40000_15000,4_7_40_8_50000_15000,4_7_40_8_60000_15000,4_7_40_8_70000_15000,4_7_40_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,1.0618920766862894,1.0752796872324306,1.0891743372950429,1.0939300703872088,1.0960420369484336,1.0630171606032002,1.082394958393921,1.0945055162220185,1.0915772855345116,1.1071043194063674,1.0639338880189508,1.0924190119065456,1.1015897360995834,1.100559358324425,1.1326669433233596,1.073483771330592,NaN,NaN,1.113698285936374,1.1309853316768372,1.0844764754615017,1.1032256133725966,1.0763686640306676,1.0779365568615917,1.163195184446192,1.0934740559062637,1.0843126351851433,1.0680554107447504,1.136183316608071,1.114007566497282
path_benchmark_false_false_false_false_false_true_true_false_large,1.0248410319907453,1.0319106895862857,1.037413252537077,1.0374459186245373,1.0386395734077827,1.0217803386176414,1.0266365634834993,1.0246491092464058,1.036296978065682,1.0483784389775836,1.0251297473866328,1.028790924384884,1.0210337056587655,1.0230195570780558,1.073107308979594,1.0269347253228516,1.0412084084961422,NaN,1.1146905367840592,1.7131009060758202,NaN,NaN,1.1762380581775354,NaN,NaN,1.0274435330637008,1.271374281681365,NaN,1.4911624778244201,NaN
path_benchmark_false_false_false_false_false_true_true_false_small,1.0377582048566212,1.0673093861467289,1.0657894934241423,1.076996237214527,1.0894245306327437,1.0357134350856738,1.0984546924596503,1.0655665397989664,1.1288841562302359,1.10309031254519,1.0572966780896134,1.0819453435314967,1.1434728613705978,1.0672997577223793,1.096263564318034,1.045348595844958,1.0577354107244787,1.09488445356028,1.0626641851957594,1.1078682034839022,NaN,1.0593802549181686,1.1454762457475844,NaN,1.0873655285811663,NaN,1.0580283236642238,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_true_large,1.0275545576156917,1.0327843685634739,1.0365177517418027,1.065534438113341,1.116773437321252,1.0254769078518478,1.0321652231728198,1.0384605911980986,1.1322982056308828,1.2032315528190554,1.0288975562787168,1.0562861031988149,1.4134459498162995,1.7004708229142689,NaN,1.012410531059663,1.2769244006304636,1.583628025844011,NaN,NaN,1.0138145322272418,1.1533487991789189,NaN,NaN,NaN,1.041277874532472,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_true_small,1.0394846786421383,1.0766029476774774,1.0680586448137026,1.0709829510997035,1.0792130786355396,1.044088667637704,1.065327729384555,1.0762732443758476,1.0863178886345497,1.1000532040119086,1.066998887195328,1.0600907998349394,1.0711513648209272,1.0754618578877522,1.0862199516506346,NaN,NaN,NaN,1.114192160637646,1.1679478219910275,1.0607787841573697,1.0968349198499412,1.0840605281412787,1.1414180195079628,NaN,1.0672744131635876,1.0596501846355504,NaN,NaN,NaN
path_benchmark_false_false_true_true_false_false_false_false_none,1.025645791317504,1.058799214149306,1.0654313870414351,NaN,NaN,1.0443756018021337,NaN,NaN,NaN,NaN,1.0533812771296516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
path_ours_false_false_false_false_false_true_false_false_none,1.0650864448727944,1.0789834866587067,1.0985094639144672,1.1003781635980148,1.109733330919433,1.054279555761725,1.0731874734460276,1.1107068632418184,1.104777994658851,1.1096904794838336,1.0534042052022417,1.1028154993480588,1.1208544987548434,1.1425296807846455,1.1174028153521571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1746133339794296,1.1341188014159684,NaN,1.109793646329576,1.1341332111684237,1.152991753988729,NaN
path_ours_false_false_false_false_false_true_true_false_large,1.0261297112114465,1.0322893700985971,1.0361383980115924,1.0363163389792538,1.0395593468028097,1.025977635618822,1.029479038194705,1.0363920988158042,1.0383897378698377,1.0438705362554344,1.0262543872137178,1.0352576922524466,1.0469237142498529,1.0448228051564983,1.0472567482165462,NaN,1.0579977017005493,1.069413453812786,NaN,1.458643819320358,1.0349766189201386,1.0555179339908891,1.288142844265726,NaN,NaN,1.0418660497849117,1.3278109785385868,NaN,NaN,NaN
path_ours_false_false_false_false_false_true_true_false_small,1.041619067903466,1.0735958088498578,1.0765979842308877,1.0858327714725748,1.093788518492646,1.0501887551954654,1.07770032896216,1.0962897507112008,1.089797684423383,1.0867917329382408,1.0535850151342179,1.0817879060233353,1.1000270782083903,1.109122915819231,1.1089365955055488,1.0599528184502975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.059277616543258,NaN,NaN,1.1486206597681072,1.0969351311478932
path_ours_false_false_false_false_false_true_true_true_large,1.0258386266586246,1.0320052277209055,1.0608739243650454,1.049872587453868,1.0997048287873976,1.0263301424500737,1.0306821867946427,1.0683080088893824,1.3324938060900378,1.5944048876318382,1.0335800081530353,1.0545646839273501,1.4295771817732088,1.6229565871637117,NaN,1.028093397963103,1.0466408840187453,NaN,NaN,NaN,1.0737751961325392,NaN,NaN,NaN,NaN,1.1527677932594977,1.4145271522730098,NaN,NaN,NaN
