methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000,4_7_24_8_40000_15000,4_7_24_8_50000_15000,4_7_24_8_60000_15000,4_7_24_8_70000_15000,4_7_24_8_80000_15000,4_7_28_8_40000_15000,4_7_28_8_50000_15000,4_7_28_8_60000_15000,4_7_28_8_70000_15000,4_7_28_8_80000_15000,4_7_32_8_40000_15000,4_7_32_8_50000_15000,4_7_32_8_60000_15000,4_7_32_8_70000_15000,4_7_32_8_80000_15000,4_7_36_8_40000_15000,4_7_36_8_50000_15000,4_7_36_8_60000_15000,4_7_36_8_70000_15000,4_7_36_8_80000_15000,4_7_40_8_40000_15000,4_7_40_8_50000_15000,4_7_40_8_60000_15000,4_7_40_8_70000_15000,4_7_40_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,0.9808962722776744,0.9226068798126217,0.9176435966948621,0.887937868685485,0.8531674057386203,0.9218469015172681,0.9177261492771442,0.9009470141574611,0.7883808448877665,0.7970278629315394,0.8200885895831822,0.8152348093896029,0.7517141456247702,0.8088900540101613,0.9524023421835349,0.9159684821522335,NaN,NaN,0.8388163650212285,0.8174332903798963,0.7521551463125035,0.6701390549065577,0.8978012965841999,0.7759496319610154,0.7842994381056416,0.8317231207257028,0.7323162508348344,0.5845395210001572,0.6288217189472335,0.6987539155864211
path_benchmark_false_false_false_false_false_true_true_false_large,0.99625756105442,0.9445918555369927,0.9434789230469379,0.9139167412780074,0.8777971607684764,0.920600946424435,0.9937105684332221,0.9314824480645723,0.7961365082674318,0.8442251534367644,0.7651015820179082,0.6267989097372237,0.7775420660286625,0.8802106254154325,0.9953484539511869,0.9231904222597961,0.7516031131010147,NaN,0.992863042970335,0.9918437963420663,NaN,NaN,0.9199292596498495,NaN,NaN,0.8913826025493327,1.0,NaN,1.0,NaN
path_benchmark_false_false_false_false_false_true_true_false_small,0.9824635097441886,0.923751148539106,0.9186617949957148,0.8890127389178304,0.8544757101149786,0.9569829779963968,0.9441521926140533,0.9085847230408177,0.8615848254512489,0.8104149848120338,0.8714593503520505,0.805659222656065,0.9021105315856417,0.9577097417565925,0.9515990787833151,0.8156594175292913,0.6892015304463914,0.9522710415719778,0.8505762359172768,0.7860194711567543,NaN,0.6727516805804626,0.8297921697080815,NaN,0.613831192462098,NaN,0.843254153347933,NaN,0.8406825747468623,NaN
path_benchmark_false_false_false_false_false_true_true_true_large,0.99625756105442,0.9445918555369927,0.9434789230469379,0.94484521361897,0.9635443083176981,0.9351648710848801,0.9367601909216091,0.9179661619300609,0.8652667347322773,0.7472791462867701,0.8191216331250396,0.8491979445619086,0.9117950611243842,1.0,NaN,0.9999742072925045,0.9906751644371751,1.0,NaN,NaN,0.5593468063400966,0.5745996372392531,NaN,NaN,NaN,0.879743682395481,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_true_small,0.9824708944476498,0.9236686323009884,0.9186941117842178,0.88354297150892,0.8544955468669475,0.9240389329582106,0.9200954587335082,0.9043171520487203,0.791513387960045,0.7995273602255931,0.8226089280616747,0.8188680298704053,0.7493511944458936,0.8458879261099845,0.9316750364035448,NaN,NaN,NaN,0.8806301355748444,0.861078395193816,0.7931839518833808,0.5987021078017145,0.7676054941657167,0.8745190783309349,NaN,0.7770534738841121,0.8412045182886814,NaN,NaN,0.9824968055985716
path_benchmark_false_false_true_true_false_false_false_false_none,0.9967343371986448,0.9974657348053702,1.0,NaN,NaN,0.9786410913725072,NaN,NaN,NaN,NaN,0.9052951287647566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
path_ours_false_false_false_false_false_true_false_false_none,0.9865537357004396,0.9271384715076156,0.9243391814658471,0.8927832605010038,0.8573319926434856,0.9272910140719322,0.9213180941082392,0.9083765842713365,0.7933671865983412,0.8027540126274483,0.8249730766977776,0.8170698073187903,0.7488394039115015,0.8129426451475539,0.9268250743742085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6554074521323514,0.7478412354362282,NaN,0.7797982521406782,0.714468524945277,0.6691652358763741,NaN
path_ours_false_false_false_false_false_true_true_false_large,0.9963632757343917,0.9445918555369927,0.9434789230469379,0.9139664963300588,0.8777971607684764,0.9352619138005117,0.9367601909216091,0.924834260250333,0.8107205032228727,0.8222424588579524,0.8353502882671091,0.8234383065824064,0.7864505233075745,0.8366254497531338,0.9880337959704928,NaN,0.7753512263864911,0.9131699470425424,NaN,0.9693337765633758,0.7502876850803579,0.731054012589044,0.9964497254301703,NaN,NaN,0.779623576446941,0.9483393249591296,NaN,NaN,NaN
path_ours_false_false_false_false_false_true_true_false_small,0.9870407694002511,0.9306016008206829,0.9248851519948289,0.8949203020328721,0.8616952795049407,0.9279398253335029,0.9251018240726439,0.9103210685996646,0.7957201332018226,0.804116647398798,0.8274563331933841,0.8472535571527045,0.7531230666929567,0.8296824397571834,0.9324790541728056,0.8568368556983116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8023158210236994,NaN,NaN,0.6961997542187606,0.7286401299115647
path_ours_false_false_false_false_false_true_true_true_large,0.9963642297662482,0.9445918555369927,0.9582053652972542,0.9495313458525043,0.9423953235306729,0.9354200465392133,0.9367601909216091,0.9445829226779756,0.9470875640097558,0.9556805332844974,0.842303016306677,0.8122049634802329,0.941187743565122,1.0,NaN,0.883610508576076,0.9044537136852612,NaN,NaN,NaN,0.8481133338769905,NaN,NaN,NaN,NaN,0.9168955723428509,1.0,NaN,NaN,NaN
path_ours_false_false_false_false_false_true_true_true_small,0.987587925647983,0.930511007396295,0.9247106554491026,0.8947492067638818,0.8608954009489349,0.9282854329040126,0.9248714102366783,0.91028256315508,0.795716614334417,0.803992609920761,0.8183940312128817,0.8194260336870004,0.7529220621841766,0.8240377719318412,0.9303517678645333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6784165340920825,0.727519755049447,0.6388217694820499,NaN,NaN,0.7381889617040039,0.6661099038819304,NaN
path_ours_true_true_false_false_false_true_false_false_none,0.9845268204875823,0.9263976805858614,0.9223100972468734,0.8926953785706806,0.8570561428241674,0.926244446197345,0.9224052909494459,0.9079734983006904,0.7936299697035614,0.8027543679629507,0.8252221215450417,0.8171130541741543,0.7510846135549821,0.8147479008656358,0.9298082009605713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7305537046539775,NaN,NaN,NaN,NaN,NaN
path_ours_true_true_true_true_false_true_false_false_none,0.9968976203387125,0.9443673605589589,0.9994921695038037,1.0,1.0,0.950479618428024,0.986592132991364,1.0,NaN,NaN,0.8242608164857538,1.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,0.5970723102606065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_false_false_none,0.980734883417972,0.9222134744415534,0.9167719712825676,0.8867273453940487,0.8527857364450293,0.9222958859610542,0.9168555420497683,0.9006872743779774,0.7881962278688007,0.7956683516685308,0.8203058155765046,0.8187385246530081,0.7453347002182567,0.8084860934372061,0.9167798861871885,0.9246037071404659,NaN,NaN,0.8418583729391806,NaN,NaN,0.7042324009036965,NaN,NaN,0.7716577434069369,0.7825866659574683,NaN,0.6963659423913757,NaN,0.7070692371717979
