x1,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000,4_7_24_8_40000_15000,4_7_24_8_50000_15000,4_7_24_8_60000_15000,4_7_24_8_70000_15000,4_7_24_8_80000_15000,4_7_28_8_40000_15000,4_7_28_8_50000_15000,4_7_28_8_60000_15000,4_7_28_8_70000_15000,4_7_28_8_80000_15000,4_7_32_8_40000_15000,4_7_32_8_50000_15000,4_7_32_8_60000_15000,4_7_32_8_70000_15000,4_7_32_8_80000_15000,4_7_36_8_40000_15000,4_7_36_8_50000_15000,4_7_36_8_60000_15000,4_7_36_8_70000_15000,4_7_36_8_80000_15000,4_7_40_8_40000_15000,4_7_40_8_50000_15000,4_7_40_8_60000_15000,4_7_40_8_70000_15000,4_7_40_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,13.702,31.297,61.308,111.34,186.74,20.784,53.554,124.29,190.47,388.15,39.322,96.143,193.37,383.2,695.64,52.642,198.4,442.96,837.96,1447.8,122.72,234.52,480.78,1781.4,1803.8,170.14,585.23,932.85,2536.2,2852.7
path_benchmark_false_false_false_false_false_true_true_false_large,65.145,162.93,262.69,350.35,439.81,23.697,80.892,198.72,213.91,175.38,75.381,76.16,277.92,569.84,933.81,490.86,2108.2,2860.0,3836.1,3601.8,2182.7,3205.8,3812.5,3638.9,3601.8,2620.4,3715.1,3603.1,3602.5,3606.4
path_benchmark_false_false_false_false_false_true_true_false_small,37.924,75.904,153.35,285.49,454.61,31.502,52.97,77.069,151.58,290.2,56.946,154.99,131.26,254.18,450.03,438.92,507.56,1551.5,2007.1,2750.6,480.03,1807.7,1248.6,3427.0,3515.9,1127.5,2707.7,3362.2,3600.2,3600.1
path_benchmark_false_false_false_false_false_true_true_true_large,112.88,424.77,980.35,1884.7,2633.2,242.69,835.75,2133.3,3355.0,3589.5,457.85,1876.5,3578.4,3600.3,3600.3,1004.2,3318.8,3600.6,3600.3,3600.2,3552.1,3601.0,3600.3,3600.3,3600.4,3482.0,3600.4,3600.4,3600.3,3600.3
path_benchmark_false_false_false_false_false_true_true_true_small,45.531,96.05,174.89,330.03,469.29,72.195,170.05,380.74,568.61,947.08,150.67,372.14,773.55,941.06,1904.8,351.92,1021.1,1117.0,2656.9,2996.6,579.5,1772.1,2553.4,3287.4,3600.1,1271.8,2268.9,3577.8,3600.2,3600.1
path_benchmark_false_false_true_true_false_false_false_false_none,803.93,3061.9,3458.9,3600.1,3600.1,3084.7,3600.1,3600.1,3600.1,3600.1,3505.0,3600.1,3600.1,3600.1,3600.1,3600.3,3600.1,3600.1,3600.1,3600.1,3600.2,3600.2,3600.1,3600.1,3600.1,3600.2,3600.1,3600.1,3600.1,3600.1
path_ours_false_false_false_false_false_true_false_false_none,1.9921,3.3388,5.4459,8.0352,13.154,3.1819,5.2225,8.9733,14.492,19.595,4.9536,8.6999,15.264,26.941,32.031,8.6559,15.341,18.92,40.703,45.74,12.809,21.396,36.761,52.453,74.059,17.443,30.866,57.338,75.004,124.69
path_ours_false_false_false_false_false_true_true_false_large,123.4,260.8,491.96,606.59,878.46,268.45,567.36,1049.0,1380.7,1541.8,694.59,1697.8,2480.9,2940.0,3270.3,1408.6,2987.8,3563.3,3611.5,3601.6,2446.2,3581.7,3604.5,3601.3,3601.3,3321.7,3603.6,3601.3,3601.6,3601.5
path_ours_false_false_false_false_false_true_true_false_small,3.9207,5.4908,7.933,11.689,15.588,5.4596,9.1858,12.096,18.239,25.277,9.316,12.231,21.965,28.67,44.828,13.512,23.757,37.124,52.198,75.521,27.415,35.219,53.119,87.496,94.39,45.383,58.113,89.369,138.56,201.13
path_ours_false_false_false_false_false_true_true_true_large,105.45,278.15,924.88,1762.3,2634.4,249.05,808.86,1864.6,3282.6,3534.7,673.98,1756.0,3307.1,3601.0,3600.6,1235.3,3219.9,3601.0,3600.4,3600.3,2936.1,3601.8,3600.7,3600.3,3600.4,3594.0,3601.0,3600.5,3600.6,3600.4
