x1,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,0.0536,0.0664,0.0764,0.0803,0.0823
path_benchmark_false_false_false_false_false_true_true_false_large,0.00751,0.00621,0.00629,0.00538,0.00499
path_benchmark_false_false_false_false_false_true_true_false_small,0.0329,0.058,0.0566,0.0644,0.0762
path_benchmark_false_false_false_false_false_true_true_true_large,0.0101,0.00702,0.00548,0.00631,0.00153
path_benchmark_false_false_false_false_false_true_true_true_small,0.0345,0.0649,0.0586,0.057,0.0681
path_benchmark_false_false_true_true_false_false_false_false_none,0.00733,0.00278,8.71e-5,6.06e-7,1.5e-7
path_ours_false_false_false_false_false_true_false_false_none,0.0517,0.0648,0.0785,0.0799,0.0887
path_ours_false_false_false_false_false_true_true_false_large,0.00863,0.00654,0.00513,0.00429,0.00584
path_ours_false_false_false_false_false_true_true_false_small,0.0321,0.0574,0.0604,0.0671,0.0712
path_ours_false_false_false_false_false_true_true_true_large,0.00836,0.00632,0.00498,0.00461,0.00503
path_ours_false_false_false_false_false_true_true_true_small,0.0377,0.0574,0.0536,0.0599,0.0605
path_ours_true_true_false_false_false_true_false_false_none,0.0343,0.0492,0.0673,0.0727,0.0663
path_ours_true_true_true_true_false_true_false_false_none,0.00764,0.00364,0.00145,-679.0,0.0012
subpath_benchmark_false_false_false_false_false_true_false_false_none,0.0618,0.0722,0.0793,0.0848,0.088
subpath_benchmark_false_false_false_false_false_true_true_false_large,0.00791,0.00673,0.00561,0.00641,0.00459
subpath_benchmark_false_false_false_false_false_true_true_false_small,0.0354,0.0555,0.066,0.0688,0.0729
subpath_benchmark_false_false_false_false_false_true_true_true_large,0.00774,0.00809,0.00599,0.00534,0.00513
subpath_benchmark_false_false_false_false_false_true_true_true_small,0.034,0.0553,0.0605,0.0686,0.0699
subpath_benchmark_false_false_true_true_false_false_false_false_none,0.00839,0.00703,9.13e-5,-0.03,4.46e-7
subpath_benchmark_false_false_true_true_true_false_false_false_none,0.00662,0.00559,0.00607,0.0047,0.00421
subpath_ours_false_false_false_false_false_true_false_false_none,0.0439,0.0563,0.0823,0.0831,0.0957
subpath_ours_false_false_false_false_false_true_true_false_large,0.0111,0.00602,0.00599,0.00597,0.00587
subpath_ours_false_false_false_false_false_true_true_false_small,0.0432,0.0657,0.0723,0.0671,0.0646
subpath_ours_false_false_false_false_false_true_true_true_large,0.0093,0.00711,0.00788,0.0133,0.0119
subpath_ours_false_false_false_false_false_true_true_true_small,0.0362,0.063,0.0646,0.0623,0.0681
subpath_ours_true_true_false_false_false_true_false_false_none,0.0394,0.0608,0.0714,0.064,0.0685
subpath_ours_true_true_false_false_true_true_false_false_none,0.0432,0.06,0.07,0.0739,0.0716
subpath_ours_true_true_true_true_false_true_false_false_none,0.00769,0.00583,0.0086,0.00169,0.00372
subpath_ours_true_true_true_true_true_true_false_false_none,0.00794,0.00688,0.00651,0.00788,0.00829
