methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,0.9795895689680936,0.9055688877962618,0.8883587705117172,0.8911328129431098,0.8795778662172523
path_benchmark_false_false_false_false_false_true_true_false_large,NaN,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_false_small,NaN,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_true_large,0.9948965620246224,0.9269392017783563,0.9129971915112035,0.9481572499836064,0.9825353555209576
path_benchmark_false_false_false_false_false_true_true_true_small,0.9811616636809634,0.9064335979730552,0.8892111562780052,0.8921867509871744,0.8810646249081657
path_benchmark_false_false_true_true_false_false_false_false_none,0.9955366213089152,0.9979636935081536,1.0,NaN,NaN
path_ours_false_false_false_false_false_true_false_false_none,0.9852417306419243,0.9099235105573122,0.8947469068232783,0.8960296572862443,0.8837694667004126
path_ours_false_false_false_false_false_true_true_false_large,0.9950022767045942,0.9269392017783563,0.9129971915112035,0.9171129308764634,0.9059192928916552
path_ours_false_false_false_false_false_true_true_false_small,0.9857272450300136,0.9130742657821175,0.8950380164271852,0.8980667365792767,0.8883805778120047
path_ours_false_false_false_false_false_true_true_true_large,0.9950032307364507,0.9269392017783563,0.9134063598780946,0.9425118730264284,0.958898581822901
path_ours_false_false_false_false_false_true_true_true_small,0.9862738420856607,0.9130780807722422,0.8949616067961401,0.8978956413102864,0.8875861715410893
path_ours_true_true_false_false_false_true_false_false_none,0.9832127912241806,0.9089816242671602,0.8926779709522925,0.8959006736106397,0.8837093498556795
path_ours_true_true_true_true_false_true_false_false_none,0.9955366213089152,0.9257436675063078,0.9495504988416239,1.0,1.0
subpath_benchmark_false_false_false_false_false_true_false_false_none,0.9794281801083912,0.9051837286180054,0.887492313404252,0.889862852851407,0.8790799068999375
subpath_benchmark_false_false_false_false_false_true_true_false_large,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_false_small,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_large,0.9948965620246224,0.9269392017783563,0.91252516793262,0.9432386583218441,0.9672259646163832
subpath_benchmark_false_false_false_false_false_true_true_true_small,0.9810855402957485,0.9064081568673308,0.8893885406243847,0.8918625171907342,0.8810810276815552
subpath_benchmark_false_false_true_true_false_false_false_false_none,0.9966607074066752,0.9935423350873386,1.0,1.0,NaN
subpath_benchmark_false_false_true_true_true_false_false_false_none,0.9955366213089152,0.9278895569888604,0.91324364350761,0.9173096278208185,0.9061657448880617
subpath_ours_false_false_false_false_false_true_false_false_none,0.9835486319976242,0.9084266660033299,0.8934387174953111,0.8958286037180908,0.883988631432177
subpath_ours_false_false_false_false_false_true_true_false_large,0.9938461799233318,0.9269392017783563,0.9121348184863729,0.9159827616078777,0.904822997693176
subpath_ours_false_false_false_false_false_true_true_false_small,0.9850545075975031,0.9125521377781295,0.8948528593135192,0.8980794393952888,0.8862267143273321
subpath_ours_false_false_false_false_false_true_true_true_large,0.9942384686268289,0.9269392017783563,0.9304934413030705,0.968495263286043,0.9821746009941906
subpath_ours_false_false_false_false_false_true_true_true_small,0.9859831205829359,0.9120377719890083,0.8955979473568336,0.8975653592315049,0.8875580286104043
subpath_ours_true_true_false_false_false_true_false_false_none,0.9833537953973538,0.9085905091191085,0.8920103204834552,0.8957554933767684,0.8832698969742141
subpath_ours_true_true_false_false_true_true_false_false_none,0.9828229747823627,0.9079737505488286,0.8924740676872072,0.8939018341524253,0.8836543840918175
subpath_ours_true_true_true_true_false_true_false_false_none,0.9947224778430483,0.9388877178029229,0.9701605496629536,0.9195789742254247,0.90721296528738
subpath_ours_true_true_true_true_true_true_false_false_none,0.9955366213089152,0.9272740754770726,0.9126271488971552,0.9156990730470597,0.9055492498116899
