methodname,4_7_20_8_40000_15000,4_7_24_8_40000_15000,4_7_28_8_40000_15000,4_7_32_8_40000_15000,4_7_36_8_40000_15000,4_7_40_8_40000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,20,20,20,20,20,20
path_benchmark_false_false_false_false_false_true_true_false_large,20,20,20,20,20,20
path_benchmark_false_false_false_false_false_true_true_false_small,20,20,20,20,20,20
path_benchmark_false_false_false_false_false_true_true_true_large,20,20,20,20,20,20
path_benchmark_false_false_false_false_false_true_true_true_small,20,20,20,20,20,20
path_benchmark_false_false_true_true_false_false_false_false_none,20,4,,,,
path_ours_false_false_false_false_false_true_false_false_none,20,20,20,20,20,20
path_ours_false_false_false_false_false_true_true_false_large,20,20,20,20,20,20
path_ours_false_false_false_false_false_true_true_false_small,20,20,20,20,20,20
path_ours_false_false_false_false_false_true_true_true_large,20,20,20,20,20,20
path_ours_false_false_false_false_false_true_true_true_small,20,20,20,20,20,20
path_ours_true_true_false_false_false_true_false_false_none,20,20,20,20,20,20
path_ours_true_true_true_true_false_true_false_false_none,20,16,,,,
subpath_benchmark_false_false_false_false_false_true_false_false_none,20,20,20,20,20,20
subpath_benchmark_false_false_false_false_false_true_true_false_large,20,20,20,20,20,20
subpath_benchmark_false_false_false_false_false_true_true_false_small,20,20,20,20,20,20
subpath_benchmark_false_false_false_false_false_true_true_true_large,20,20,20,20,20,20
subpath_benchmark_false_false_false_false_false_true_true_true_small,20,20,20,20,20,20
subpath_benchmark_false_false_true_true_false_false_false_false_none,20,4,,,,
subpath_benchmark_false_false_true_true_true_false_false_false_none,20,19,,,,
subpath_ours_false_false_false_false_false_true_false_false_none,20,20,20,20,20,20
subpath_ours_false_false_false_false_false_true_true_false_large,20,20,20,20,20,20
subpath_ours_false_false_false_false_false_true_true_false_small,20,20,20,20,20,20
subpath_ours_false_false_false_false_false_true_true_true_large,20,20,20,20,20,20
subpath_ours_false_false_false_false_false_true_true_true_small,20,20,20,20,20,20
subpath_ours_true_true_false_false_false_true_false_false_none,20,20,20,20,20,20
subpath_ours_true_true_false_false_true_true_false_false_none,20,20,20,20,20,20
subpath_ours_true_true_true_true_false_true_false_false_none,20,20,,,,
subpath_ours_true_true_true_true_true_true_false_false_none,20,20,,,,
