x1,4_7_20_8_40000_15000,4_7_24_8_40000_15000,4_7_28_8_40000_15000,4_7_32_8_40000_15000,4_7_36_8_40000_15000,4_7_40_8_40000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,8.333,15.026,27.347,51.735,90.12,130.4
path_benchmark_false_false_false_false_false_true_true_false_large,37.605,63.988,219.33,411.3,875.39,1929.5
path_benchmark_false_false_false_false_false_true_true_false_small,20.938,37.005,98.254,176.36,339.42,738.5
path_benchmark_false_false_false_false_false_true_true_true_large,101.61,215.03,554.89,1005.5,2018.0,3240.0
path_benchmark_false_false_false_false_false_true_true_true_small,32.314,63.568,133.45,243.72,469.0,864.01
path_benchmark_false_false_true_true_false_false_false_false_none,723.5,2665.3,,,,
path_ours_false_false_false_false_false_true_false_false_none,1.2844,2.068,3.3129,5.6394,7.6442,11.383
path_ours_false_false_false_false_false_true_true_false_large,84.999,180.33,509.61,939.42,1767.3,3211.2
path_ours_false_false_false_false_false_true_true_false_small,2.6514,3.751,6.8703,9.9262,14.977,27.15
path_ours_false_false_false_false_false_true_true_true_large,56.773,144.23,358.09,870.15,1867.1,3248.5
path_ours_false_false_false_false_false_true_true_true_small,5.3589,7.71,14.605,23.985,37.922,67.421
path_ours_true_true_false_false_false_true_false_false_none,29.873,89.223,265.64,580.16,1429.2,2486.9
path_ours_true_true_true_true_false_true_false_false_none,184.71,1615.5,,,,
subpath_benchmark_false_false_false_false_false_true_false_false_none,7.9114,14.674,26.561,48.491,76.224,128.11
subpath_benchmark_false_false_false_false_false_true_true_false_large,37.68,72.186,193.49,433.09,714.75,1658.2
subpath_benchmark_false_false_false_false_false_true_true_false_small,19.066,35.585,83.156,173.61,310.59,772.39
subpath_benchmark_false_false_false_false_false_true_true_true_large,94.777,211.72,552.9,1054.0,2005.5,3344.3
subpath_benchmark_false_false_false_false_false_true_true_true_small,29.812,55.919,113.65,201.12,409.47,839.34
subpath_benchmark_false_false_true_true_false_false_false_false_none,845.05,2432.3,,,,
subpath_benchmark_false_false_true_true_true_false_false_false_none,164.59,700.22,,,,
subpath_ours_false_false_false_false_false_true_false_false_none,1.4497,2.3208,3.8566,6.3359,7.9704,12.304
subpath_ours_false_false_false_false_false_true_true_false_large,74.732,163.52,527.92,871.65,1651.7,3062.9
subpath_ours_false_false_false_false_false_true_true_false_small,2.6383,4.115,7.1874,10.76,15.796,26.623
subpath_ours_false_false_false_false_false_true_true_true_large,51.879,125.98,334.47,772.06,1702.3,3184.6
subpath_ours_false_false_false_false_false_true_true_true_small,6.1435,9.3211,15.145,24.123,35.593,69.55
subpath_ours_true_true_false_false_false_true_false_false_none,25.065,89.829,227.05,558.39,1438.1,2493.4
subpath_ours_true_true_false_false_true_true_false_false_none,10.645,32.375,81.181,348.96,638.98,1358.8
subpath_ours_true_true_true_true_false_true_false_false_none,174.49,932.48,,,,
subpath_ours_true_true_true_true_true_true_false_false_none,47.582,348.9,,,,
