x1,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,8.333,22.026,42.974,86.278,153.3
path_benchmark_false_false_false_false_false_true_true_false_large,3.3162,9.8038,17.857,30.656,44.793
path_benchmark_false_false_false_false_false_true_true_false_small,0.60945,1.2374,2.1745,3.3938,4.8355
path_benchmark_false_false_false_false_false_true_true_true_large,101.61,381.04,873.65,1792.4,2592.5
path_benchmark_false_false_false_false_false_true_true_true_small,32.314,77.684,145.86,271.55,424.51
path_benchmark_false_false_true_true_false_false_false_false_none,723.5,3049.1,3438.8,3600.1,3600.1
path_ours_false_false_false_false_false_true_false_false_none,1.2844,2.1457,3.7737,6.2605,10.297
path_ours_false_false_false_false_false_true_true_false_large,84.999,187.14,346.33,464.28,709.18
path_ours_false_false_false_false_false_true_true_false_small,2.6514,3.8755,5.8372,8.5903,12.263
path_ours_false_false_false_false_false_true_true_true_large,56.773,201.71,731.79,1571.2,2419.3
path_ours_false_false_false_false_false_true_true_true_small,5.3589,8.878,11.72,17.283,25.727
path_ours_true_true_false_false_false_true_false_false_none,29.873,30.814,35.188,49.448,50.453
path_ours_true_true_true_true_false_true_false_false_none,184.71,1448.2,2872.0,3360.0,3497.2
subpath_benchmark_false_false_false_false_false_true_false_false_none,7.9114,19.666,40.689,74.385,135.38
subpath_benchmark_false_false_false_false_false_true_true_false_large,3.4149,10.063,19.908,32.244,46.76
subpath_benchmark_false_false_false_false_false_true_true_false_small,0.5813,1.2758,2.1841,3.4536,4.7707
subpath_benchmark_false_false_false_false_false_true_true_true_large,94.777,311.75,895.68,1711.4,2690.2
subpath_benchmark_false_false_false_false_false_true_true_true_small,29.812,72.834,134.59,260.49,404.74
subpath_benchmark_false_false_true_true_false_false_false_false_none,845.05,2785.6,3372.5,3529.7,3600.3
subpath_benchmark_false_false_true_true_true_false_false_false_none,164.59,485.7,754.39,731.47,732.55
subpath_ours_false_false_false_false_false_true_false_false_none,1.4497,2.8468,4.1687,6.2286,9.0624
subpath_ours_false_false_false_false_false_true_true_false_large,74.732,166.07,283.62,396.26,490.88
subpath_ours_false_false_false_false_false_true_true_false_small,2.6383,3.871,5.5049,7.8394,10.891
subpath_ours_false_false_false_false_false_true_true_true_large,51.879,209.79,676.83,1524.7,2451.0
subpath_ours_false_false_false_false_false_true_true_true_small,6.1435,7.8489,10.362,14.95,21.008
subpath_ours_true_true_false_false_false_true_false_false_none,25.065,29.01,32.133,37.446,47.733
subpath_ours_true_true_false_false_true_true_false_false_none,10.645,10.432,13.488,19.932,20.952
subpath_ours_true_true_true_true_false_true_false_false_none,174.49,794.56,2196.7,3087.0,3281.6
subpath_ours_true_true_true_true_true_true_false_false_none,47.582,95.775,132.28,216.67,199.56
