n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,formulation,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,christofides,ngroute,ngroute_alt,ngroute_neighborhood_charging_depots_size,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,time_limit_reached,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_subpath_ncust,lp_weighted_mean_subpath_ncust,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_path_ncust,lp_weighted_mean_path_ncust,lp_mean_ps_length,lp_weighted_mean_ps_length,lp_utilization,lp_driving_time_proportion,lp_charging_time_proportion,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_subpath_ncust,ip_weighted_mean_subpath_ncust,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_path_ncust,ip_weighted_mean_path_ncust,ip_mean_ps_length,ip_weighted_mean_ps_length,ip_utilization,ip_driving_time_proportion,ip_charging_time_proportion
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,true,true,false,small,849921.6666666666,925010.0,0.08117569900145227,21,true,8.032,false,1.814,4.989,0.508,0.08638095238095238,0.23757142857142857,0.02419047619047619,3.967741935483871,4.0,2.967741935483871,3.0000000000000004,12.3,12.444444444444445,9.2,9.333333333333334,3.1,3.111111111111111,0.9099216666666669,0.8207680555555558,0.08915361111111114,3.8,3.8,2.8,2.8,9.5,9.5,7.0,7.0,2.5,2.5,0.7537575,0.69063125,0.06312625
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,true,true,false,small,976745.1602564101,1.090985e6,0.10471256684884744,18,true,15.048,false,5.003,8.013,1.347,0.27794444444444444,0.44516666666666665,0.07483333333333334,3.9318181818181817,3.6440677966101696,2.9318181818181817,2.6440677966101696,12.357142857142858,10.905797101449275,9.214285714285714,7.913043478260869,3.142857142857143,2.9927536231884053,0.8854384329710145,0.7975824501811594,0.08785598278985507,3.5454545454545454,3.5454545454545454,2.5454545454545454,2.5454545454545454,6.5,6.5,4.666666666666667,4.666666666666667,1.8333333333333333,1.8333333333333333,0.6048091666666666,0.5657958333333334,0.03901333333333333
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,true,true,false,false,none,808260.0,808980.0,0.0008900096417711056,22,true,70.17,false,66.85,2.569,0.4700000000000001,3.0386363636363636,0.11677272727272726,0.021363636363636366,4.6,4.5,3.6,3.5,9.857142857142858,9.6,7.714285714285714,7.466666666666667,2.142857142857143,2.1333333333333333,0.706608,0.65134,0.055268,4.111111111111111,4.111111111111111,3.111111111111111,3.111111111111111,9.25,9.25,7.0,7.0,2.25,2.25,0.666735,0.6181125,0.0486225
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,19,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,false,false,none,1.051931375e6,1.10662e6,0.04941951618441742,21,true,29.033,false,0.0,28.026000000000003,0.7190000000000001,0.0,1.3345714285714287,0.03423809523809524,3.4523809523809526,3.5027932960893855,2.4523809523809526,2.5027932960893855,9.666666666666666,8.957142857142857,6.866666666666666,6.4,2.8,2.557142857142857,0.7812521428571428,0.7134682142857143,0.06778392857142858,3.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,6.666666666666667,6.666666666666667,4.666666666666667,4.666666666666667,2.0,2.0,0.61059,0.5684916666666666,0.042098333333333335
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,false,false,none,796766.0000000001,808980.0,0.015098024673044885,15,true,20.432,false,0.0,19.862000000000002,0.404,0.0,1.3241333333333334,0.026933333333333333,4.6,4.5897435897435885,3.6,3.5897435897435894,10.615384615384615,10.228571428571428,8.307692307692308,8.0,2.3076923076923075,2.2285714285714286,0.7427640000000001,0.6812842857142857,0.06147971428571429,4.111111111111111,4.111111111111111,3.111111111111111,3.111111111111111,9.25,9.25,7.0,7.0,2.25,2.25,0.666735,0.6181125,0.0486225
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,true,false,false,none,849407.1428571428,883723.0,0.0388310105574452,19,true,4.073,false,0.609,2.721,0.479,0.03205263157894737,0.14321052631578948,0.02521052631578947,4.0,4.015384615384615,3.0,3.0153846153846158,12.444444444444445,12.73170731707317,9.333333333333334,9.560975609756097,3.111111111111111,3.1707317073170724,0.9301243902439023,0.8376036585365851,0.09252073170731706,3.8,3.8,2.8,2.8,7.6,7.6,5.6,5.6,2.0,2.0,0.586177,0.546755,0.039422
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,false,true,false,false,none,849913.3333333335,945460.0,0.10105839132979344,21,true,171.331,false,159.619,9.798000000000002,0.6869999999999999,7.600904761904762,0.46657142857142864,0.03271428571428571,3.967741935483871,3.999999999999999,2.967741935483871,3.0,12.3,12.444444444444443,9.2,9.333333333333334,3.1,3.111111111111111,0.9099133333333334,0.8207611111111113,0.08915222222222222,3.8,3.8,2.8,2.8,9.5,9.5,7.0,7.0,2.5,2.5,0.769095,0.7034125,0.0656825
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,1,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,913245.0833333333,952159.0,0.04086913705239015,17,true,170.922,false,0.0,169.898,0.6570000000000001,0.0,9.994,0.03864705882352942,4.212121212121212,4.147540983606557,3.212121212121212,3.147540983606557,10.692307692307692,10.120000000000001,8.153846153846153,7.68,2.5384615384615383,2.44,0.7158351,0.6572570000000001,0.0585781,3.909090909090909,3.909090909090909,2.909090909090909,2.909090909090909,8.6,8.6,6.4,6.4,2.2,2.2,0.629405,0.585035,0.04437
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,1.182525e6,1.239114e6,0.045668921503590476,15,true,147.677,false,0.0,146.403,0.562,0.0,9.7602,0.03746666666666667,3.5,3.4615384615384617,2.5,2.4615384615384617,10.5,9.782608695652174,7.5,6.9565217391304355,3.0,2.8260869565217392,0.8299302173913045,0.7527733695652175,0.07715684782608696,3.0,3.0,2.0,2.0,8.0,8.0,5.333333333333333,5.333333333333333,2.6666666666666665,2.6666666666666665,0.6775916666666667,0.6251125,0.05247916666666667
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,3,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,960848.0,1.00212e6,0.04118468846046386,21,true,312.292,false,0.0,311.1310000000001,0.786,0.0,14.815761904761908,0.03742857142857143,4.0476190476190474,4.0476190476190474,3.0476190476190474,3.0476190476190474,9.444444444444445,9.444444444444445,7.111111111111111,7.111111111111111,2.3333333333333335,2.3333333333333335,0.6998933333333334,0.6450444444444444,0.05484888888888889,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,8.8,8.8,6.4,6.4,2.4,2.4,0.661272,0.61356,0.047712
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,1.0000729964e10,1.0000751067e10,2.110141514188868e-6,19,true,154.48,false,0.0,153.433,0.6310000000000001,0.0,8.075421052631578,0.03321052631578948,4.5,4.373493975903613,3.5,3.3734939759036138,12.272727272727273,8.541176470588237,9.545454545454545,6.588235294117649,2.727272727272727,1.9529411764705893,0.568953411764706,0.530049411764706,0.038904,4.111111111111111,4.111111111111111,3.111111111111111,3.111111111111111,7.4,7.4,5.6,5.6,1.8,1.8,0.502209,0.472225,0.029984
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,5,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,839017.204440333,1.01905e6,0.17666728380321584,20,true,428.313,false,0.0,426.54699999999997,1.034,0.0,21.32735,0.0517,4.836734693877551,4.7207701409056675,3.836734693877551,3.7207701409056675,13.941176470588236,11.871517446578304,11.058823529411764,9.356775764133078,2.8823529411764706,2.514741682445226,0.7954980822288342,0.7249089193941033,0.07058916283473085,3.4615384615384617,3.4615384615384617,2.4615384615384617,2.4615384615384617,7.5,7.5,5.333333333333333,5.333333333333333,2.1666666666666665,2.1666666666666665,0.5684116666666666,0.5350166666666667,0.033395
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,6,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,916244.125,923610.0,0.007975092300862907,16,true,161.749,false,0.0,160.65800000000002,0.792,0.0,10.041125000000001,0.0495,4.578947368421052,4.6571428571428575,3.5789473684210527,3.657142857142857,9.666666666666666,10.866666666666667,7.555555555555555,8.533333333333333,2.111111111111111,2.3333333333333335,0.7925391666666667,0.7224741666666666,0.070065,4.555555555555555,4.555555555555555,3.5555555555555554,3.5555555555555554,10.25,10.25,8.0,8.0,2.25,2.25,0.7527075,0.68975625,0.06295125
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,7,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,901029.3333333334,931758.0,0.03297923566705796,14,true,149.475,false,0.0,148.474,0.6560000000000001,0.0,10.605285714285714,0.04685714285714287,4.4411764705882355,4.588785046728972,3.4411764705882355,3.5887850467289715,10.785714285714286,8.92727272727273,8.357142857142858,6.981818181818181,2.4285714285714284,1.9454545454545455,0.6454734545454546,0.5959245454545455,0.049548909090909095,4.2,4.2,3.2,3.2,8.4,8.4,6.4,6.4,2.0,2.0,0.611018,0.56331,0.047708
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,8,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,891282.0,942610.0,0.05445306118118842,22,true,277.864,false,0.0,276.544,0.8700000000000001,0.0,12.570181818181817,0.03954545454545455,5.0,4.5887850467289715,4.0,3.5887850467289715,12.307692307692308,12.275000000000002,9.846153846153847,9.600000000000001,2.4615384615384617,2.6750000000000007,0.861375,0.77950125,0.08187375000000001,4.2,4.2,3.2,3.2,10.5,10.5,8.0,8.0,2.5,2.5,0.7669575,0.70163125,0.06532625
4,28,7,8,circular,random_box,circular_packing,1.0,1.0,40000,2,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,true,false,false,none,1.0819958888888888e6,1.114894e6,0.029507837616052468,15,true,2.105,false,0.224,1.3159999999999998,0.3440000000000001,0.014933333333333333,0.08773333333333332,0.02293333333333334,3.7714285714285714,3.3886255924170605,2.7714285714285714,2.3886255924170614,9.428571428571429,7.574152542372879,6.928571428571429,5.338983050847457,2.5,2.2351694915254234,0.6766898516949152,0.6240660487288134,0.05262380296610169,3.1538461538461537,3.1538461538461537,2.1538461538461537,2.1538461538461537,6.833333333333333,6.833333333333333,4.666666666666667,4.666666666666667,2.1666666666666665,2.1666666666666665,0.6154816666666667,0.5733541666666667,0.0421275
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,9,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,1.0325786666666665e6,1.07013e6,0.03509044072527023,14,true,212.697,false,0.0,211.31300000000002,1.006,0.0,15.093785714285715,0.07185714285714286,3.9655172413793105,3.909090909090909,2.9655172413793105,2.909090909090909,10.454545454545455,9.923076923076923,7.818181818181818,7.384615384615385,2.6363636363636362,2.5384615384615388,0.7707292307692308,0.7004692307692307,0.07025999999999999,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,8.8,8.8,6.4,6.4,2.4,2.4,0.702078,0.647565,0.054513
4,32,7,8,circular,random_box,circular_packing,1.0,1.0,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,path,benchmark,false,false,false,false,false,true,true,true,small,996665.1,1.07591e6,0.07365383721686758,19,true,593.928,false,0.0,591.241,2.028,0.0,31.117947368421053,0.10673684210526316,4.651162790697675,4.062200956937797,3.6511627906976742,3.0622009569377986,13.333333333333334,11.7590027700831,10.466666666666667,8.86426592797784,2.8666666666666667,2.8947368421052637,0.8852682825484763,0.79711391966759,0.08815436288088642,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,8.8,8.8,6.4,6.4,2.4,2.4,0.705546,0.650455,0.055091
